inlp	spec	general	posaff	negaff	posaff-control	negaff-control	spec-control	gen-control
0	85.7	85.7	85.7	85.7	85.7	85.7	85.7	85.7
1	85.7	85.7	85.9	85.6	85.7	85.7	85.7	85.6
2	85.7	85.3	85.1	85.8	85.7	85.6	85.7	85.6
3	85.2	85.7	85.0	85.9	85.7	85.7	85.6	85.4
4	85.4	85.3	85.0	86.0	85.7	85.7	85.6	85.3
5	85.3	85.4	84.7	86.1	85.5	85.5	85.9	85.3
6	85.3	85.4	84.6	86.0	85.7	85.5	85.6	85.4
7	85.2	85.4	84.7	86.1	85.5	85.6	85.7	85.3
8	85.3	85.2	84.4	86.1	85.6	85.5	85.7	85.3
9	85.3	84.9	84.3	85.7	85.6	85.6	85.8	85.5
10	85.2	84.7	84.2	85.8	85.4	85.6	85.8	85.2
11	85.1	84.8	84.2	85.6	85.3	85.4	85.5	85.3
12	85.1	84.7	83.6	85.7	85.2	85.5	85.4	85.2
13	85.1	84.4	84.1	85.7	85.3	85.3	85.5	85.0
14	85.2	84.0	83.8	85.6	85.2	85.0	85.3	85.2
15	85.1	84.2	83.8	85.6	85.1	84.9	85.3	85.1
16	85.1	83.5	83.7	85.5	84.9	85.1	85.2	84.9
17	84.7	84.1	83.5	85.3	85.1	84.9	85.2	84.8
18	84.8	83.6	83.5	85.5	85.2	84.9	85.1	84.7
19	84.4	83.7	83.4	85.4	85.0	84.8	85.3	84.6
20	84.4	83.3	83.3	84.9	85.2	84.6	85.5	84.2
21	84.2	83.5	82.8	84.9	85.1	84.6	85.4	84.0
22	84.0	83.0	82.9	84.3	84.8	84.5	85.4	84.3
23	84.1	82.8	82.3	83.9	84.9	84.5	85.5	84.0
24	84.0	82.5	81.7	83.5	84.8	84.5	85.2	83.8
25	83.6	82.0	81.8	82.4	84.7	84.5	85.3	84.0
26	83.3	80.9	81.6	82.6	84.6	84.3	85.2	83.8
27	82.9	80.4	81.2	81.1	84.7	84.1	85.1	83.9
28	82.5	79.4	80.3	80.2	84.3	84.1	85.0	83.7
29	82.5	78.3	79.9	78.6	84.2	84.0	84.9	83.7
30	82.2	78.2	79.1	78.8	84.2	83.9	84.8	84.0
31	82.0	75.8	78.1	77.0	84.1	83.9	84.5	84.0
32	81.8	75.6	78.6	76.7	83.9	84.1	84.3	84.2
33	81.7	74.2	77.9	76.4	83.7	83.6	84.5	84.2
34	81.3	73.5	77.6	75.6	83.7	83.7	84.5	84.1
35	81.5	72.0	77.7	75.4	83.6	83.5	84.5	84.1
36	81.5	71.8	76.8	75.6	83.5	83.3	84.4	84.0
37	81.2	70.8	77.5	73.9	83.3	83.5	84.3	84.0
38	81.0	70.0	76.6	74.1	83.3	83.5	84.3	84.0
39	81.0	69.0	76.4	73.6	83.2	83.5	83.5	84.0
40	80.8	68.4	76.0	72.8	83.3	83.2	83.5	84.2
41	80.6	67.7	76.9	72.0	83.2	83.1	83.5	83.9
42	80.6	67.3	76.1	72.0	83.4	83.0	83.3	84.1
43	80.8	66.1	76.7	71.3	83.2	82.8	83.2	84.0
44	80.7	65.4	76.4	71.0	83.2	82.7	82.7	83.8
45	80.5	65.4	76.1	71.0	83.2	83.0	82.5	83.3
46	80.8	64.4	76.3	70.6	83.3	83.0	82.7	83.0
47	80.3	63.6	75.8	70.3	83.2	82.8	82.6	82.8
48	80.5	62.6	75.5	70.2	82.8	82.7	82.3	82.5
49	80.4	61.9	75.7	70.2	82.6	82.5	82.2	82.6
50	80.2	61.1	76.0	69.8	82.6	82.4	82.1	82.5
51	80.4	61.3	75.8	69.7	82.8	82.2	82.0	82.5
52	79.8	60.6	75.4	69.1	82.9	81.9	82.1	82.5
53	79.7	60.6	75.7	69.1	82.9	82.0	81.9	82.3
54	79.7	61.2	76.0	68.4	82.6	81.9	81.9	81.9
55	79.7	60.1	76.0	67.9	82.5	81.9	81.8	81.9
56	79.2	60.6	76.0	67.1	82.5	81.5	81.8	81.9
57	79.4	61.9	76.0	66.7	82.6	80.9	81.8	81.6
58	78.9	61.9	76.3	64.5	82.8	81.1	81.7	81.5
59	78.8	62.3	76.4	61.7	82.7	81.2	81.2	81.6
60	78.6	61.4	76.5	59.6	82.8	80.8	80.9	81.7
61	77.3	63.2	76.6	59.2	82.6	81.1	80.2	82.1
62	77.5	64.1	76.4	58.4	82.5	80.9	80.3	81.9
63	77.0	63.8	76.4	56.9	82.3	80.7	80.0	82.1
64	76.3	64.0	76.4	56.9	82.2	80.7	80.5	81.9
